municipality_lower,iata_code,name
calama,CJC,El Loa Airport
cheongju,CJJ,Cheongju International Airport/Cheongju Air Base (K-59/G-513)
chitral,CJL,Chitral Airport
ciudad juãƒâ¡rez,CJS,Abraham GonzÃƒÂ¡lez International Airport
jeju city,CJU,Jeju International Airport
clarksburg,CKB,North Central West Virginia Airport
cherkasy,CKC,Cherkasy International Airport
chongqing,CKG,Chongqing Jiangbei International Airport
chokurdah,CKH,Chokurdakh Airport
moscow,CKL,Chkalovskiy Air Base
parauapebas,CKS,CarajÃƒÂ¡s Airport
sarakhs,CKT,Sarakhs Airport
conakry,CKY,Conakry International Airport
ãƒâ‡anakkale,CKZ,ÃƒÂ‡anakkale Airport
carlsbad,CLD,Mc Clellan-Palomar Airport
cleveland,CLE,Cleveland Hopkins International Airport
cluj-napoca,CLJ,Cluj-Napoca International Airport
college station,CLL,Easterwood Field
port angeles,CLM,William R Fairchild International Airport
carolina,CLN,Brig. Lysias Augusto Rodrigues Airport
cali,CLO,Alfonso Bonilla Aragon International Airport
colima,CLQ,Licenciado Miguel de la Madrid Airport
charlotte,CLT,Charlotte Douglas International Airport
columbus,CLU,Columbus Municipal Airport
calvi/sainte-catherine,CLY,Calvi-Sainte-Catherine Airport
guarico,CLZ,Calabozo Airport
colombo,CMB,Bandaranaike International Colombo Airport
ciudad del carmen,CME,Ciudad del Carmen International Airport
chambãƒâ©ry/aix-les-bains,CMF,ChambÃƒÂ©ry-Savoie Airport
corumbãƒâ¡,CMG,CorumbÃƒÂ¡ International Airport
columbus,CMH,John Glenn Columbus International Airport
champaign/urbana,CMI,University of Illinois Willard Airport
casablanca,CMN,Mohammed V International Airport
colmar/houssen,CMR,Colmar-Houssen Airport
kundiawa,CMU,Chimbu Airport
camaguey,CMW,Ignacio Agramonte International Airport
hancock,CMX,Houghton County Memorial Airport
constanã…â£a,CND,Mihail KogÃ„Âƒlniceanu International Airport
belo horizonte,CNF,Tancredo Neves International Airport
cognac/chãƒâ¢teaubernard,CNG,Cognac-ChÃƒÂ¢teaubernard (BA 709) Air Base
changhai,CNI,Changhai Airport
cloncurry,CNJ,Cloncurry Airport
sindal,CNL,Sindal Airport
carlsbad,CNM,Cavern City Air Terminal
kannur,CNN,Kannur International Airport
corrientes,CNQ,Corrientes Airport
chaãƒâ±aral,CNR,ChaÃƒÂ±aral Airport
cairns,CNS,Cairns International Airport
chanute,CNU,Chanute Martin Johnson Airport
chiang mai,CNX,Chiang Mai International Airport
concordia,COC,Comodoro Pierrestegui Airport
cody,COD,Yellowstone Regional Airport
coeur d'alene,COE,Coeur D'Alene - Pappy Boyington Field
cocoa beach,COF,Patrick Air Force Base
kochi,COK,Cochin International Airport
concord,CON,Concord Municipal Airport
cotonou,COO,Cadjehoun Airport
cordoba,COR,Ingeniero Ambrosio Taravella Airport
colorado springs,COS,City of Colorado Springs Municipal Airport
columbia,COU,Columbia Regional Airport
chapelco/san martin de los andes,CPC,Aviador C. Campos Airport
campeche,CPE,Ingeniero Alberto AcuÃƒÂ±a Ongay International Airport
copenhagen,CPH,Copenhagen Kastrup Airport
copiapo,CPO,Desierto de Atacama Airport
casper,CPR,Casper-Natrona County International Airport
cape town,CPT,Cape Town International Airport
campina grande,CPV,Presidente JoÃƒÂ£o Suassuna Airport
shahrekord,CQD,Shahrekord Airport
calais/dunkerque,CQF,Calais-Dunkerque Airport
craiova,CRA,Craiova Airport
cartago,CRC,Santa Ana Airport
comodoro rivadavia,CRD,General E. Mosconi Airport
north myrtle beach,CRE,Grand Strand Airport
jacksonville,CRG,Jacksonville Executive at Craig Airport
colonel hill,CRI,Colonel Hill Airport
angeles/mabalacat,CRK,Diosdado Macapagal International Airport
brussels,CRL,Brussels South Charleroi Airport
catarman,CRM,Catarman National Airport
corpus christi,CRP,Corpus Christi International Airport
caravelas,CRQ,Caravelas Airport
crotone,CRV,Crotone Airport
charleston,CRW,Yeager Airport
tãƒâ¼rkmenabat,CRZ,Turkmenabat Airport
caransebeã…âÿ,CSB,CaransebeÃ…ÂŸ Airport
creil,CSF,Creil Air Base
columbus,CSG,Columbus Metropolitan Airport
cap skirring,CSK,Cap Skirring Airport
crossville,CSV,Crossville Memorial Whitson Field
changsha,CSX,Changsha Huanghua International Airport
cheboksary,CSY,Cheboksary Airport
catania,CTA,Catania-Fontanarossa Airport
cut bank,CTB,Cut Bank International Airport
catamarca,CTC,Catamarca Airport
chitrãƒâ©,CTD,Alonso Valderrama Airport
cartagena,CTG,Rafael NuÃƒÂ±ez International Airport
charleville,CTL,Charleville Airport
chetumal,CTM,Chetumal International Airport
chitose / tomakomai,CTS,New Chitose Airport
le castellet,CTT,Le Castellet Airport
chengdu,CTU,Chengdu Shuangliu International Airport
ciudad constituciãƒâ³n,CUA,Ciudad ConstituciÃƒÂ³n Airport
columbia,CUB,Jim Hamilton L.B. Owens Airport
cãƒâºcuta,CUC,Camilo Daza International Airport
cuenca,CUE,Mariscal Lamar Airport
cuneo,CUF,Cuneo International Airport
caye caulker,CUK,Caye Caulker Airport
culiacãƒâ¡n,CUL,Bachigualato Federal International Airport
cancãƒâºn,CUN,CancÃƒÂºn International Airport
carãƒâºpano,CUP,General Francisco BermÃƒÂºdez Airport
coen,CUQ,Coen Airport
willemstad,CUR,Hato International Airport
cutral-co,CUT,Cutral-Co Airport
chihuahua,CUU,General Roberto Fierro Villalobos International Airport
cusco,CUZ,Alejandro Velasco Astete International Airport
coveãƒâ±as,CVE,CoveÃƒÂ±as Airport
cincinnati / covington,CVG,Cincinnati Northern Kentucky International Airport
ciudad victoria,CVM,General Pedro Jose Mendez International Airport
corvallis,CVO,Corvallis Municipal Airport
carnarvon,CVQ,Carnarvon Airport
clovis,CVS,Cannon Air Force Base
coventry,CVT,Coventry Airport
mosinee,CWA,Central Wisconsin Airport
curitiba,CWB,Afonso Pena Airport
chernivtsi,CWC,Chernivtsi International Airport
cangyuan va autonomous county,CWJ,Cangyuan Washan Airport
cardiff,CWL,Cardiff International Airport
cox's bazar,CXB,Cox's Bazar Airport
banana,CXI,Cassidy International Airport
caxias do sul,CXJ,Hugo Cantergiani Regional Airport
houston,CXO,Conroe-North Houston Regional Airport
cilacap-java island,CXP,Tunggul Wulung Airport
nha trang,CXR,Cam Ranh Airport
les cayes,CYA,Les Cayes Airport
cayman brac,CYB,Gerrard Smith International Airport
caye chapel,CYC,Caye Chapel Airport
chiayi city,CYI,Chiayi Airport
cayo largo del sur,CYO,Vilo AcuÃƒÂ±a International Airport
calbayog city,CYP,Calbayog Airport
cheyenne,CYS,Cheyenne Regional Jerry Olson Field
celaya,CYW,Captain Rogelio Castillo National Airport
cherskiy,CYX,Cherskiy Airport
cauayan city,CYZ,Cauayan Airport
chichen itza,CZA,Chichen Itza International Airport
coro,CZE,JosÃƒÂ© Leonardo Chirinos Airport
cape romanzof,CZF,Cape Romanzof LRRS Airport
corozal,CZH,Corozal Municipal Airport
constantine,CZL,Mohamed Boudiaf International Airport
cozumel,CZM,Cozumel International Airport
cruzeiro do sul,CZS,Cruzeiro do Sul Airport
corozal,CZU,Las Brujas Airport
fort belvoir,DAA,Davison Army Air Field
daytona beach,DAB,Daytona Beach International Airport
dhaka,DAC,Hazrat Shahjalal International Airport
da nang,DAD,Da Nang International Airport
daggett,DAG,Barstow Daggett Airport
dallas,DAL,Dallas Love Field
damascus,DAM,Damascus International Airport
danville,DAN,Danville Regional Airport
dar es salaam,DAR,Julius Nyerere International Airport
daru,DAU,Daru Airport
david,DAV,Enrique Malek International Airport
dayton,DAY,James M Cox Dayton International Airport
el alamein,DBB,El Alamein International Airport
baicheng,DBC,Baicheng Chang'an Airport
dubbo,DBO,Dubbo City Regional Airport
dubuque,DBQ,Dubuque Regional Airport
dubrovnik,DBV,Dubrovnik Airport
washington,DCA,Ronald Reagan Washington National Airport
canefield,DCF,Canefield Airport
decimomannu,DCI,Decimomannu Air Base
castres/mazamet,DCM,Castres-Mazamet Airport
daocheng county,DCY,Daocheng Yading Airport
dodge city,DDC,Dodge City Regional Airport
dandong,DDG,Dandong Airport
dera ghazi khan,DEA,Dera Ghazi Khan Airport
debrecen,DEB,Debrecen International Airport
decatur,DEC,Decatur Airport
dehradun,DED,Dehradun Airport
new delhi,DEL,Indira Gandhi International Airport
denver,DEN,Denver International Airport
detroit,DET,Coleman A. Young Municipal Airport
deir ez-zor,DEZ,Deir ez-Zor Air Base
dallas-fort worth,DFW,Dallas Fort Worth International Airport
dangriga,DGA,Dangriga Airport
mudgee,DGE,Mudgee Airport
durango,DGO,General Guadalupe Victoria International Airport
daugavpils,DGP,Daugavpils Intrenational Airport
dumaguete city,DGT,Sibulan Airport
dothan,DHN,Dothan Regional Airport
den helder,DHR,De Kooy Airport
dalhart,DHT,Dalhart Municipal Airport
doha,DIA,Doha International Airport
dibrugarh,DIB,Dibrugarh Airport
shangri-la,DIG,Diqing Airport
dijon/longvic,DIJ,Dijon-Bourgogne Airport
dickinson,DIK,Dickinson Theodore Roosevelt Regional Airport
dili,DIL,Presidente Nicolau Lobato International Airport
dien bien phu,DIN,Dien Bien Phu Airport
dire dawa,DIR,Aba Tenna Dejazmach Yilma International Airport
dolisie,DIS,Ngot Nzoungou Airport
diyarbakir,DIY,Diyarbakir Airport
djerba,DJE,Djerba Zarzis International Airport
djanet,DJG,Djanet Inedbirene Airport
jayapura-papua island,DJJ,Sentani International Airport
dakar,DKR,LÃƒÂ©opold SÃƒÂ©dar Senghor International Airport
dikson,DKS,Dikson Airport
douala,DLA,Douala International Airport
dalian,DLC,Zhoushuizi Airport
dole/tavaux,DLE,Dole-Tavaux Airport
del rio,DLF,DLF Airport
dillingham,DLG,Dillingham Airport
duluth,DLH,Duluth International Airport
da lat,DLI,Lien Khuong Airport
dalaman,DLM,Dalaman International Airport
the dalles,DLS,Columbia Gorge Regional the Dalles Municipal Airport
xiaguan,DLU,Dali Airport
dalanzadgad,DLZ,Dalanzadgad Airport
tucson,DMA,Davis Monthan Air Force Base
taraz,DMB,Taraz Airport
moscow,DME,Domodedovo International Airport
bangkok,DMK,Don Mueang International Airport
ad dammam,DMM,King Fahd International Airport
deming,DMN,Deming Municipal Airport
dimapur,DMU,Dimapur Airport
dundee,DND,Dundee Airport
dunhuang,DNH,Dunhuang Airport
dnipropetrovsk,DNK,Dnipropetrovsk International Airport
augusta,DNL,Daniel Field
deniliquin,DNQ,Deniliquin Airport
dinard/pleurtuit/saint-malo,DNR,Dinard-Pleurtuit-Saint-Malo Airport
denizli,DNZ,ÃƒÂ‡ardak Airport
dodoma,DOD,Dodoma Airport
dongola,DOG,Dongola Airport
doha,DOH,Hamad International Airport
deauville,DOL,Deauville-Saint-Gatien Airport
marigot,DOM,Douglas-Charles Airport
dover,DOV,Dover Air Force Base
dongying,DOY,Dongying Shengli Airport
chicago/west chicago,DPA,Dupage Airport
dipolog city,DPL,Dipolog Airport
devonport,DPO,Devonport Airport
denpasar-bali island,DPS,Ngurah Rai (Bali) International Airport
duqm,DQM,Duqm International Airport
mercury,DRA,Desert Rock Airport
deering,DRG,Deering Airport
de ridder,DRI,Beauregard Regional Airport
dresden,DRS,Dresden Airport
del rio,DRT,Del Rio International Airport
darwin,DRW,Darwin International Airport
doncaster,DSA,Robin Hood Doncaster Sheffield Airport
dera ismael khan,DSK,Dera Ismael Khan Airport
des moines,DSM,Des Moines International Airport
ordos,DSN,Ordos Ejin Horo Airport
sã…ândã…âng-ni,DSO,Sondok Airport
dakar,DSS,Blaise Diagne International Airport
daet,DTE,Daet Airport
dortmund,DTM,Dortmund Airport
wudalianchi,DTU,Wudalianchi Dedu Airport
detroit,DTW,Detroit Metropolitan Wayne County Airport
dublin,DUB,Dublin Airport
dunedin,DUD,Dunedin Airport
chitato,DUE,Dundo Airport
douglas bisbee,DUG,Bisbee Douglas International Airport
dubois,DUJ,DuBois Regional Airport
dumai-sumatra island,DUM,Pinang Kampai Airport
durban,DUR,King Shaka International Airport
dãƒâ¼sseldorf,DUS,DÃƒÂ¼sseldorf Airport
unalaska,DUT,Unalaska Airport
davao city,DVO,Francisco Bangoy International Airport
dwangwa,DWA,Dwangwa Airport
jebel ali,DWC,Al Maktoum International Airport
dawadmi,DWD,King Salman Abdulaziz Airport
dubai,DXB,Dubai International Airport
anadyr,DYR,Ugolny Airport
abilene,DYS,Dyess Air Force Base
dushanbe,DYU,Dushanbe Airport
dzaoudzi,DZA,Dzaoudzi Pamandzi International Airport
zhezkazgan,DZN,Zhezkazgan Airport
durazno,DZO,Santa Bernardina International Airport
hondarribia,EAS,San Sebastian Airport
wenatchee,EAT,Pangborn Memorial Airport
eau claire,EAU,Chippewa Valley Regional Airport
marina  di campo,EBA,Marina Di Campo Airport
kampala,EBB,Entebbe International Airport
al-ubayyid,EBD,El Obeid Airport
el bagre,EBG,El Bagre Airport
esbjerg,EBJ,Esbjerg Airport
arbil,EBL,Erbil International Airport
el borma,EBM,El Borma Airport
saint-ãƒâ‰tienne/bouthãƒâ©on,EBU,Saint-ÃƒÂ‰tienne-BouthÃƒÂ©on Airport
elizabeth city,ECG,Elizabeth City Regional Airport & Coast Guard Air Station
nicosia,ECN,Ercan International Airport
panama city beach,ECP,Northwest Florida Beaches International Airport
madrid,ECV,Cuatro Vientos Airport
anchorage,EDF,Elmendorf Air Force Base
edinburgh,EDI,Edinburgh Airport
eldoret,EDL,Eldoret International Airport
la roche-sur-yon/les ajoncs,EDM,La Roche-sur-Yon Airport
edremit,EDO,BalÃ„Â±kesir KÃƒÂ¶rfez Airport
edwards,EDW,Edwards Air Force Base
needles,EED,Needles Airport
keene,EEN,Dillant Hopkins Airport
houston,EFD,Ellington Airport
kefallinia island,EFL,Kefallinia Airport
bergerac/roumaniãƒâ¨re,EGC,Bergerac-RoumaniÃƒÂ¨re Airport
eagle,EGE,Eagle County Regional Airport
el gora,EGH,El Gora Airport
crestview,EGI,Duke Field
belgorod,EGO,Belgorod International Airport
egilsstaãƒâ°ir,EGS,EgilsstaÃƒÂ°ir Airport
egegik,EGX,Egegik Airport
el bolson,EHL,El Bolson Airport
cape newenham,EHM,Cape Newenham LRRS Airport
eisenach,EIB,Eisenach-Kindel Airport
yeniseysk,EIE,Yeniseysk Airport
yeysk,EIK,Yeysk Airport
fairbanks,EIL,Eielson Air Force Base
eindhoven,EIN,Eindhoven Airport
road town,EIS,Terrance B. Lettsome International Airport
barrancabermeja,EJA,YariguÃƒÂ­es Airport
al wajh,EJH,Al Wajh Domestic Airport
eureka,EKA,Murray Field
ekibastuz,EKB,Ekibastuz Airport
elkins,EKN,Elkins-Randolph Co-Jennings Randolph Field
elko,EKO,Elko Regional Airport
eskilstuna,EKT,Eskilstuna Airport
el banco,ELB,Las Flores Airport
elcho island,ELC,Elcho Island Airport
el dorado,ELD,South Arkansas Regional At Goodwin Field
el fasher,ELF,El Fasher Airport
north eleuthera,ELH,North Eleuthera Airport
elmira/corning,ELM,Elmira Corning Regional Airport
el paso,ELP,El Paso International Airport
east london,ELS,Ben Schoeman Airport
guemar,ELU,Guemar Airport
ely,ELY,Ely Airport Yelland Field
nottingham,EMA,East Midlands Airport
emerald,EMD,Emerald Airport
emmonak,EMK,Emmonak Airport
kenai,ENA,Kenai Municipal Airport
nancy/essey,ENC,Nancy-Essey Airport
enid,END,Vance Air Force Base
enontekio,ENF,Enontekio Airport
enniskillen,ENK,St Angelo Airport
nenana,ENN,Nenana Municipal Airport
enschede,ENS,Twente Airport
enegu,ENU,Akanu Ibiam International Airport
wendover,ENV,Wendover Airport
kenosha,ENW,Kenosha Regional Airport
medellãƒâ­n,EOH,Enrique Olaya Herrera Airport
eday,EOI,Eday Airport
bolivar,EOR,El Dorado Airport
el palomar,EPA,El Palomar Airport
ãƒâ‰pinal/mirecourt,EPL,ÃƒÂ‰pinal-Mirecourt Airport
esperance,EPR,Esperance Airport
pãƒâ¤rnu,EPU,PÃƒÂ¤rnu Airport
esquel,EQS,Brigadier Antonio Parodi Airport
erzincan,ERC,Erzincan Airport
erfurt,ERF,Erfurt Airport
errachidia,ERH,Moulay Ali Cherif Airport
erie,ERI,Erie International Tom Ridge Field
erenhot,ERL,Erenhot Saiwusu International Airport
windhoek,ERS,Eros Airport
erzurum,ERZ,Erzurum International Airport
ankara,ESB,EsenboÃ„ÂŸa International Airport
alexandria,ESF,Esler Regional Airport
mariscal estigarribia,ESG,Dr. Luis Maria ArgaÃƒÂ±a International Airport
brighton,ESH,Shoreham Airport
elista,ESL,Elista Airport
el salvador,ESR,Ricardo GarcÃƒÂ­a Posada Airport
eilat,ETM,Ramon Airport
santa rosa,ETR,Santa Rosa International Airport
metz / nancy,ETZ,Metz-Nancy-Lorraine Airport
eugene,EUG,Mahlon Sweet Field
el aaiãƒâºn,EUN,Hassan I Airport
san jose,EUQ,Evelio Javier Airport
sint eustatius,EUX,F. D. Roosevelt Airport
evenes,EVE,Harstad/Narvik Airport, Evenes
yerevan,EVN,Zvartnots International Airport
evansville,EVV,Evansville Regional Airport
evanston,EVW,Evanston-Uinta County Airport-Burns Field
ãƒâ‰vreux/fauville,EVX,ÃƒÂ‰vreux-Fauville (BA 105) Air Base
new bedford,EWB,New Bedford Regional Airport
new bern,EWN,Coastal Carolina Regional Airport
newark,EWR,Newark Liberty International Airport
exeter,EXT,Exeter International Airport
el yopal,EYP,El Yopal Airport
key west,EYW,Key West International Airport
buenos aires,EZE,Ministro Pistarini International Airport
elazã„â±ã„âÿ,EZS,ElazÃ„Â±Ã„ÂŸ Airport
farnborough,FAB,Farnborough Airport
vagar,FAE,Vagar Airport
fort eustis,FAF,Felker Army Air Field
fairbanks,FAI,Fairbanks International Airport
fajardo,FAJ,Diego Jimenez Torres Airport
faro,FAO,Faro Airport
fargo,FAR,Hector International Airport
fresno,FAT,Fresno Yosemite International Airport
fayetteville,FAY,Fayetteville Regional Grannis Field
fasa,FAZ,Fasa Airport
fort bragg,FBG,Simmons Army Air Field
fairbanks/ft wainwright,FBK,Ladd AAF Airfield
lubumbashi,FBM,Lubumbashi International Airport
kalispell,FCA,Glacier Park International Airport
ficksburg,FCB,Ficksburg Sentraoes Airport
cuxhaven,FCN,Nordholz Naval Airbase
rome,FCO,Leonardo da VinciÃ¢Â€Â“Fiumicino Airport
fort carson,FCS,Butts AAF (Fort Carson) Air Field
fort-de-france,FDF,Martinique AimÃƒÂ© CÃƒÂ©saire International Airport
friedrichshafen,FDH,Friedrichshafen Airport
san fernando,FDO,San Fernando Airport
findlay,FDY,Findlay Airport
fernando de noronha,FEN,Fernando de Noronha Airport
fes,FEZ,SaÃƒÂ¯ss Airport
fairford,FFD,RAF Fairford
dayton,FFO,Wright-Patterson Air Force Base
fort huachuca / sierra vista,FHU,Sierra Vista Municipal Airport / Libby Army Air Field
fair isle,FIE,Fair Isle Airport
kinshasa,FIH,Ndjili International Airport
baden-baden,FKB,Karlsruhe Baden-Baden Airport
kisangani,FKI,Bangoka International Airport
franklin,FKL,Venango Regional Airport
fakfak-papua island,FKQ,Fakfak Airport
sukagawa,FKS,Fukushima Airport
florencia,FLA,Gustavo Artunduaga Paredes Airport
flagstaff,FLG,Flagstaff Pulliam Airport
fort lauderdale,FLL,Fort Lauderdale Hollywood International Airport
florianãƒâ³polis,FLN,HercÃƒÂ­lio Luz International Airport
florence,FLO,Florence Regional Airport
firenze,FLR,Peretola Airport
santa cruz das flores,FLW,Flores Airport
formosa,FMA,Formosa Airport
fort meade(odenton),FME,Tipton Airport
memmingen,FMM,Memmingen Allgau Airport
farmington,FMN,Four Corners Regional Airport
mãƒâ¼nster,FMO,MÃƒÂ¼nster OsnabrÃƒÂ¼ck Airport
fort myers,FMY,Page Field
freetown,FNA,Lungi International Airport
neubrandenburg,FNB,Neubrandenburg Airport
funchal,FNC,Madeira Airport
nãƒâ®mes/garons,FNI,NÃƒÂ®mes-Arles-Camargue Airport
pyongyang,FNJ,Pyongyang Sunan International Airport
flint,FNT,Bishop International Airport
fuzhou,FOC,Fuzhou Changle International Airport
fort dodge,FOD,Fort Dodge Regional Airport
topeka,FOE,Topeka Regional Airport - Forbes Field
foggia,FOG,Foggia "Gino Lisa" Airport
foumban,FOM,Foumban Nkounja Airport
fortaleza,FOR,Pinto Martins International Airport
freeport,FPO,Grand Bahama International Airport
fort pierce,FPR,St Lucie County International Airport
frankfurt am main,FRA,Frankfurt am Main Airport
forbes,FRB,Forbes Airport
farmingdale,FRG,Republic Airport
fort riley(junction city),FRI,Marshall Army Air Field
forlãƒâ¬ (fc),FRL,ForlÃƒÂ¬ Airport
florãƒâ¸,FRO,FlorÃƒÂ¸ Airport
san benito,FRS,Mundo Maya International Airport
bishkek,FRU,Manas International Airport
francistown,FRW,Francistown Airport
fritzlar,FRZ,Fritzlar Army Airfield
figari sud-corse,FSC,Figari Sud-Corse Airport
sioux falls,FSD,Joe Foss Field Airport
fort sill,FSI,Henry Post Army Air Field (Fort Sill)
fort smith,FSM,Fort Smith Regional Airport
saint-pierre,FSP,St Pierre Airport
kinloss,FSS,RAF Kinloss
fort stockton,FST,Fort Stockton Pecos County Airport
makinohara / shimada,FSZ,Mt. Fuji Shizuoka Airport
el calafate,FTE,El Calafate Airport
fitiuta village,FTI,Fitiuta Airport
fort knox,FTK,Godman Army Air Field
tãƒâ´lanaro,FTU,TÃƒÂ´lanaro Airport
fort worth,FTW,Fort Worth Meacham International Airport
owando,FTX,Owando Airport
atlanta,FTY,Fulton County Airport Brown Field
fuerteventura island,FUE,Fuerteventura Airport
fuyang,FUG,Fuyang Xiguan Airport
goto,FUJ,Fukue Airport
fukuoka,FUK,Fukuoka Airport
funafuti,FUN,Funafuti International Airport
foshan,FUO,Foshan Shadi Airport
futuna island,FUT,Pointe Vele Airport
fort wayne,FWA,Fort Wayne International Airport
fort worth,FWH,NAS Fort Worth JRB/Carswell Field
fort lauderdale,FXE,Fort Lauderdale Executive Airport
fuyuan,FYJ,Dongji Aiport
fuyun,FYN,Fuyun Koktokay Airport
fort yukon,FYU,Fort Yukon Airport
fayetteville,FYV,Drake Field
gabãƒâ¨s,GAE,GabÃƒÂ¨s Matmata International Airport
gafsa,GAF,Gafsa Ksar International Airport
yamagata,GAJ,Yamagata Airport
galena,GAL,Edward G. Pitka Sr Airport
gambell,GAM,Gambell Airport
gan,GAN,Gan International Airport
guantãƒâ¡namo,GAO,Mariana Grajales Airport
guwahati,GAU,Lokpriya Gopinath Bordoloi International Airport
gabala,GBB,Gabala International Airport
gaborone,GBE,Sir Seretse Khama International Airport
grand bourg,GBJ,Les Bases Airport
gorgan,GBT,Gorgan Airport
gillette,GCC,Gillette Campbell County Airport
gachsaran,GCH,Gachsaran Airport
saint peter port,GCI,Guernsey Airport
midrand,GCJ,Grand Central Airport
garden city,GCK,Garden City Regional Airport
georgetown,GCM,Owen Roberts International Airport
grand canyon,GCN,Grand Canyon National Park Airport
gode,GDE,Gode Airport
guadalajara,GDL,Don Miguel Hidalgo Y Costilla International Airport
gdaã…â„sk,GDN,GdaÃ…Â„sk Lech WaÃ…Â‚Ã„Â™sa Airport
gondar,GDQ,Gonder Airport
cockburn town,GDT,JAGS McCartney International Airport
glendive,GDV,Dawson Community Airport
magadan,GDX,Sokol Airport
gelendzhik,GDZ,Gelendzhik Airport
noumãƒâ©a,GEA,NoumÃƒÂ©a Magenta Airport
geãƒâ§itkale,GEC,Lefkoniko Airport
spokane,GEG,Spokane International Airport
santo ãƒâ‚ngelo,GEL,Santo ÃƒÂ‚ngelo Airport
georgetown,GEO,Cheddi Jagan International Airport
nueva gerona,GER,Rafael Cabrera Airport
general santos,GES,General Santos International Airport
geraldton,GET,Geraldton Airport
gãƒâ¤llivare,GEV,GÃƒÂ¤llivare Airport
griffith,GFF,Griffith Airport
grand forks,GFK,Grand Forks International Airport
glens falls,GFL,Floyd Bennett Memorial Airport
granville,GFR,Granville Airport
grootfontein,GFY,Grootfontein Airport
longview,GGG,East Texas Regional Airport
george town,GGT,Exuma International Airport
glasgow,GGW,Wokal Field/Glasgow-Valley County Airport
ghardaãƒâ¯a,GHA,NoumÃƒÂ©rat - Moufdi Zakaria Airport
governor's harbour,GHB,Governor's Harbour Airport
bullocks harbour,GHC,Great Harbour Cay Airport
ghat,GHT,Ghat Airport
gualeguaychu,GHU,Gualeguaychu Airport
gibraltar,GIB,Gibraltar Airport
rio de janeiro,GIG,Rio GaleÃƒÂ£o Ã¢Â€Â“ Tom Jobim International Airport
gilgit,GIL,Gilgit Airport
girardot,GIR,Santiago Vila Airport
gisborne,GIS,Gisborne Airport
jizan,GIZ,Jizan Regional Airport
guanaja,GJA,La Laguna Airport
jijel,GJL,Jijel Ferhat Abbas Airport
guajarãƒâ¡-mirim,GJM,GuajarÃƒÂ¡-Mirim Airport
grand junction,GJT,Grand Junction Regional Airport
goronka,GKA,Goroka Airport
gulkana,GKN,Gulkana Airport
glasgow,GLA,Glasgow International Airport
goodland,GLD,Renner Field-Goodland Municipal Airport
golfito,GLF,Golfito Airport
greenville,GLH,Mid Delta Regional Airport
staverton,GLO,Gloucestershire Airport
galveston,GLS,Scholes International At Galveston Airport
gladstone,GLT,Gladstone Airport
gelephu,GLU,Gelephu Airport
breda,GLZ,Gilze Rijen Air Base
gemena,GMA,Gemena Airport
gambela,GMB,Gambella Airport
gomel,GME,Gomel Airport
kiev,GML,Gostomel Airport
gombe,GMO,Gombe Lawanti International Airport
seoul,GMP,Gimpo International Airport
golog,GMQ,Golog Maqin Airport
greenville,GMU,Greenville Downtown Airport
hrodna,GNA,Hrodna Airport
saint-ãƒâ‰tienne-de-saint-geoirs,GNB,Grenoble-IsÃƒÂ¨re Airport
saint george's,GND,Point Salines International Airport
gunung sitoli-nias island,GNS,Binaka Airport
gainesville,GNV,Gainesville Regional Airport
ã…âžanlã„â±urfa,GNY,Ã…ÂžanlÃ„Â±urfa GAP Airport
genova,GOA,Genoa Cristoforo Colombo Airport
nuuk,GOH,Godthaab / Nuuk Airport
vasco da gama,GOI,Dabolim Airport
nizhny novgorod,GOJ,Nizhny Novgorod Strigino International Airport
goma,GOM,Goma International Airport
groton (new london),GON,Groton New London Airport
gorakhpur,GOP,Gorakhpur Airport
golmud,GOQ,Golmud Airport
gothenburg,GOT,Gothenburg-Landvetter Airport
garoua,GOU,Garoua International Airport
nhulunbuy,GOV,Gove Airport
gorna oryahovitsa,GOZ,Gorna Oryahovitsa Airport
patras,GPA,Araxos Airport
guapi,GPI,Juan Casiano Airport
pococi,GPL,Guapiles Airport
general pico,GPO,General Pico Airport
gulfport,GPT,Gulfport Biloxi International Airport
green bay,GRB,Austin Straubel International Airport
fort lewis/tacoma,GRF,Gray Army Air Field
grand island,GRI,Central Nebraska Regional Airport
george,GRJ,George Airport
fort hood/killeen,GRK,Robert Gray  Army Air Field Airport
girona,GRO,Girona Airport
groningen,GRQ,Eelde Airport
grand rapids,GRR,Gerald R. Ford International Airport
grosetto,GRS,Grosseto Air Base
sãƒâ£o paulo,GRU,Guarulhos - Governador AndrÃƒÂ© Franco Montoro International Airport
grozny,GRV,Grozny North Airport
santa cruz da graciosa,GRW,Graciosa Airport
granada,GRX,Federico Garcia Lorca Airport
graz,GRZ,Graz Airport
goldsboro,GSB,Seymour Johnson Air Force Base
gothenburg,GSE,Gothenburg City Airport
puerto san josãƒâ©,GSJ,San JosÃƒÂ© Airport
greensboro,GSO,Piedmont Triad International Airport
greenville,GSP,Greenville Spartanburg International Airport
gustavus,GST,Gustavus Airport
groote eylandt,GTE,Groote Eylandt Airport
great falls,GTF,Great Falls International Airport
glentanner station,GTN,Glentanner Airport
columbus/w point/starkville,GTR,Golden Triangle Regional Airport
guatemala city,GUA,La Aurora Airport
guaratinguetãƒâ¡,GUJ,GuaratinguetÃƒÂ¡ Airport
